Recursion count: 11100




 post computation states size is: 11098
00xx0~x~~ 0   ~
00xx0~x~~ 1   ~
00xx0~~0x 0   0
00xx0~~x0 0   0
00xx0~~xx 1   ~
00xx0~~x~ 0   ~
00xx0~~x~ 1   ~
00xx0~~~x 0   ~
00xx0~~~x 1   ~
00xx0~~~~ 0   ~
00xxx000x 0   d
00xxx00x0 0   d
00xxx00xx 1   d
00xxx00x~ 0   ~
00xxx00x~ 1   ~
00xxx00~x 0   ~
00xxx00~x 1   ~
00xxx00~~ 0   ~
00xxx0x0x 1   x
00xxx0x0~ 1   x
00xxx0xx0 1   x
00xxx0x~0 1   x
00xxx0x~~ 1   x
00xxx0~0x 0   ~
00xxx0~0x 1   ~
00xxx0~0~ 0   ~
00xxx0~x0 0   ~
00xxx0~x0 1   ~
00xxx0~x~ 1   ~
00xxx0~~0 0   ~
00xxx0~~x 1   ~
00xxx0~~~ 0   ~
00xxx0~~~ 1   ~
00xxxx00x 1   x
00xxxx00~ 1   x
00xxxx0x0 1   x
00xxxx0~0 1   x
00xxxx0~~ 1   x
00xxxxx00 1   x
00xxxx~00 1   x
00xxxx~0~ 1   x
00xxxx~~0 1   x
00xxx~00x 0   ~
00xxx~00x 1   ~
00xxx~00~ 0   ~
00xxx~0x0 0   ~
00xxx~0x0 1   ~
00xxx~0x~ 1   ~
00xxx~0~0 0   ~
00xxx~0~x 1   ~
00xxx~0~~ 0   ~
00xxx~0~~ 1   ~
00xxx~x00 1   x
00xxx~x0~ 1   x
00xxx~x~0 1   x
00xxx~~00 0   ~
00xxx~~0x 1   ~
00xxx~~0~ 0   ~
00xxx~~0~ 1   ~
00xxx~~x0 1   ~
00xxx~~~0 0   ~
00xxx~~~0 1   ~
00xxx~~~~ 1   ~
00xx~00xx 0   ~
00xx~00xx 1   ~
00xx~00x~ 0   ~
00xx~00~x 0   ~
00xx~0x0x 0   ~
00xx~0x0x 1   ~
00xx~0x0~ 0   ~
00xx~0xx0 0   ~
00xx~0xx0 1   ~
00xx~0xx~ 1   ~
00xx~0x~0 0   ~
00xx~0x~x 1   ~
00xx~0x~~ 0   ~
00xx~0x~~ 1   ~
00xx~0~0x 0   ~
00xx~0~x0 0   ~
00xx~0~xx 1   ~
00xx~0~x~ 0   ~
00xx~0~x~ 1   ~
00xx~0~~x 0   ~
00xx~0~~x 1   ~
00xx~0~~~ 0   ~
00xx~x00x 1   x
00xx~x00~ 0   ~
00xx~x0x0 0   ~
00xx~x0x0 1   ~
00xx~x0x~ 1   ~
00xx~x0~0 0   ~
00xx~x0~x 1   x
00xx~x0~~ 0   ~
00xx~x0~~ 1   ~
00xx~xx00 0   ~
00xx~xx00 1   ~
00xx~xx0~ 1   ~
00xx~xx~0 1   ~
00xx~x~00 0   ~
00xx~x~0x 1   x
00xx~x~0~ 0   ~
00xx~x~0~ 1   ~
00xx~x~x0 1   ~
00xx~x~~0 0   ~
00xx~x~~0 1   ~
00xx~x~~~ 1   ~
00xx~~00x 0   ~
00xx~~0x0 0   ~
00xx~~0xx 1   ~
00xx~~0x~ 0   ~
00xx~~0x~ 1   ~
00xx~~0~x 0   ~
00xx~~0~x 1   ~
00xx~~0~~ 0   ~
00xx~~x00 0   ~
00xx~~x0x 1   ~
00xx~~x0~ 0   ~
00xx~~x0~ 1   ~
00xx~~xx0 1   ~
00xx~~x~0 0   ~
00xx~~x~0 1   ~
00xx~~x~~ 1   ~
00xx~~~0x 0   ~
00xx~~~0x 1   ~
00xx~~~0~ 0   ~
00xx~~~x0 0   ~
00xx~~~x0 1   ~
00xx~~~x~ 1   ~
00xx~~~~0 0   ~
00xx~~~~x 1   ~
00xx~~~~~ 0   ~
00xx~~~~~ 1   ~
00x~00xxx 1   x
00x~00xx~ 0   ~
00x~00x~x 0   ~
00x~00~xx 0   ~
00x~0x0xx 1   x
00x~0x0x~ 0   ~
00x~0xx0~ 0   0
00x~0xxx0 0   0
00x~0xxx~ 1   ~
00x~0xx~0 0   0
00x~0xx~x 1   x
00x~0xx~~ 0   ~
00x~0xx~~ 1   ~
00x~0x~0x 0   0
00x~0x~x0 0   0
00x~0x~xx 1   x
00x~0x~x~ 0   ~
00x~0x~x~ 1   ~
00x~0x~~x 0   x
00x~0x~~x 1   x
00x~0x~~~ 0   ~
00x~0~0xx 0   ~
00x~0~x0x 0   0
00x~0~xx0 0   0
00x~0~xxx 1   x
00x~0~xx~ 0   ~
00x~0~xx~ 1   ~
00x~0~x~x 0   ~
00x~0~x~x 1   ~
00x~0~x~~ 0   ~
00x~0~~xx 0   ~
00x~0~~xx 1   ~
00x~0~~x~ 0   ~
00x~0~~~x 0   ~
00x~x00xx 0   ~
00x~x00xx 1   ~
00x~x00x~ 0   ~
00x~x00~x 0   ~
00x~x0x0x 1   x
00x~x0xx0 1   x
00x~x0xx~ 1   x
00x~x0x~x 1   x
00x~x0x~~ 1   x
00x~x0~0x 0   ~
00x~x0~x0 0   ~
00x~x0~xx 1   ~
00x~x0~x~ 0   ~
00x~x0~x~ 1   ~
00x~x0~~x 0   ~
00x~x0~~x 1   ~
00x~x0~~~ 0   ~
00x~xx00x 1   x
00x~xx00~ 0   ~
00x~xx0x0 0   ~
00x~xx0x0 1   ~
00x~xx0x~ 1   ~
00x~xx0~0 0   ~
00x~xx0~x 1   x
00x~xx0~~ 0   ~
00x~xx0~~ 1   ~
00x~xxx00 1   x
00x~xxx0~ 1   x
00x~xxx~0 1   x
00x~xx~00 0   ~
00x~xx~0x 1   x
00x~xx~0~ 0   ~
00x~xx~0~ 1   ~
00x~xx~x0 1   ~
00x~xx~~0 0   ~
00x~xx~~0 1   ~
00x~xx~~~ 1   ~
00x~x~00x 0   ~
00x~x~0x0 0   ~
00x~x~0xx 1   ~
00x~x~0x~ 0   ~
00x~x~0x~ 1   ~
00x~x~0~x 0   ~
00x~x~0~x 1   ~
00x~x~0~~ 0   ~
00x~x~x0x 1   x
00x~x~x0~ 1   x
00x~x~xx0 1   x
00x~x~x~0 1   x
00x~x~x~~ 1   x
00x~x~~0x 0   ~
00x~x~~0x 1   ~
00x~x~~0~ 0   ~
00x~x~~x0 0   ~
00x~x~~x0 1   ~
00x~x~~x~ 1   ~
00x~x~~~0 0   ~
00x~x~~~x 1   ~
00x~x~~~~ 0   ~
00x~x~~~~ 1   ~
00x~~00xx 0   ~
00x~~0x0x 0   ~
00x~~0xx0 0   ~
00x~~0xxx 1   x
00x~~0xx~ 0   ~
00x~~0xx~ 1   ~
00x~~0x~x 0   ~
00x~~0x~x 1   ~
00x~~0x~~ 0   ~
00x~~0~xx 0   ~
00x~~0~xx 1   ~
00x~~0~x~ 0   ~
00x~~0~~x 0   ~
00x~~x0x0 0   ~
00x~~x0xx 1   x
00x~~x0x~ 0   ~
00x~~x0x~ 1   ~
00x~~x0~x 0   x
00x~~x0~x 1   x
00x~~x0~~ 0   ~
00x~~xx00 0   ~
00x~~xx0x 1   x
00x~~xx0~ 0   ~
00x~~xx0~ 1   ~
00x~~xxx0 1   ~
00x~~xx~0 0   ~
00x~~xx~0 1   ~
00x~~xx~~ 1   ~
00x~~x~0x 0   x
00x~~x~0x 1   x
00x~~x~0~ 0   ~
00x~~x~x0 0   ~
00x~~x~x0 1   ~
00x~~x~x~ 1   ~
00x~~x~~0 0   ~
00x~~x~~x 1   x
00x~~x~~~ 0   ~
00x~~x~~~ 1   ~
00x~~~0xx 0   ~
00x~~~0xx 1   ~
00x~~~0x~ 0   ~
00x~~~0~x 0   ~
00x~~~x0x 0   ~
00x~~~x0x 1   ~
00x~~~x0~ 0   ~
00x~~~xx0 0   ~
00x~~~xx0 1   ~
00x~~~xx~ 1   ~
00x~~~x~0 0   ~
00x~~~x~x 1   ~
00x~~~x~~ 0   ~
00x~~~x~~ 1   ~
00x~~~~0x 0   ~
00x~~~~x0 0   ~
00x~~~~xx 1   ~
00x~~~~x~ 0   ~
00x~~~~x~ 1   ~
00x~~~~~x 0   ~
00x~~~~~x 1   ~
00x~~~~~~ 0   ~
00~00xxxx 1   x
00~00xxx~ 0   ~
00~00xx~x 0   ~
00~00x~xx 0   ~
00~0x0xxx 1   x
00~0x0xx~ 0   ~
00~0x0x~x 0   ~
00~0x0~xx 0   ~
00~0xx0xx 0   0
00~0xx0x~ 0   0
00~0xx0~x 0   0
00~0xxx0x 0   ~
00~0xxx0x 1   ~
00~0xxx0~ 0   ~
00~0xxxx0 0   ~
00~0xxxx0 1   ~
00~0xxxx~ 1   ~
00~0xxx~0 0   ~
00~0xxx~x 1   ~
00~0xxx~~ 0   ~
00~0xxx~~ 1   ~
00~0xx~0x 0   ~
00~0xx~x0 0   ~
00~0xx~xx 1   ~
00~0xx~x~ 0   ~
00~0xx~x~ 1   ~
00~0xx~~x 0   ~
00~0xx~~x 1   ~
00~0xx~~~ 0   ~
00~0x~0xx 0   0
00~0x~x0x 0   ~
00~0x~xx0 0   ~
00~0x~xxx 1   x
00~0x~xx~ 0   ~
00~0x~xx~ 1   ~
00~0x~x~x 0   ~
00~0x~x~x 1   ~
00~0x~x~~ 0   ~
00~0x~~xx 0   ~
00~0x~~xx 1   ~
00~0x~~x~ 0   ~
00~0x~~~x 0   ~
00~0~x0xx 0   0
00~0~xx0x 0   ~
00~0~xxx0 0   ~
00~0~xxxx 1   x
00~0~xxx~ 0   ~
00~0~xxx~ 1   ~
00~0~xx~x 0   ~
00~0~xx~x 1   ~
00~0~xx~~ 0   ~
00~0~x~xx 0   ~
